Hex Code,times,file,code,final code,,,,,,
EAE2C8,5,G1,20015,20015,20014,20013,20012,20011,,
D0A541,6,G2,20026,20026,20025,20024,20023,20022,20021,
CAA653,5,K1,20035,20035,20034,20033,20032,20031,,
BFA555,4,K5,20044,20044,20043,20042,20041,,,
DABE90,1,G3,20051,20051,,,,,,
B99454,2,G6,20062,20062,20061,,,,,
AA957C,1,D1,20071,20071,,,,,,
BAA673,2,D2,20082,20082,20081,,,,,
D1CFC3,6,Q2,20096,20096,20095,20094,20093,20092,20091,
E8E1C3,7,H4,20107,20107,20106,20105,20104,20103,20102,20101
E1DEB6,4,B4,20114,20114,20113,20112,20111,,,
D6CCA9,5,S5,20125,20125,20124,20123,20122,20121,,
D8C9AB,2,B8,20132,20132,20131,,,,,
D3C795,3,D5,20143,20143,20142,20141,,,,
C2A57B,1,H3,20151,20151,,,,,,
CFD4C0,1,H7,20161,20161,,,,,,
ECD3BA,2,E2,20172,20172,20171,,,,,
EAC8A5,4,E4,20184,20184,20183,20182,20181,,,
EECC89,1,H5,20191,20191,,,,,,
E1B075,4,E5,20204,20204,20203,20202,20201,,,
DC8350,1,R2,20211,20211,,,,,,
C8662C,4,H2,20224,20224,20223,20222,20221,,,
E7AFA3,4,H1,20234,20234,20233,20232,20231,,,
C9876E,2,R1,20242,20242,20241,,,,,
9D6563,2,C5,20252,20252,20251,,,,,
B34136,3,D2,20263,20263,20262,20261,,,,
B08F78,3,D1,20273,20273,20272,20271,,,,
BD8949,1,T1,20281,20281,,,,,,
B58763,2,E6,20292,20292,20291,,,,,
9EA0AB,1,C10,20301,20301,,,,,,
A9B1BF,3,C2,20313,20313,20312,20311,,,,
A5BFE1,2,V3,20322,20322,20321,,,,,
93A8D6,1,V6,20331,20331,,,,,,
6E99C5,3,C9,20343,20343,20342,20341,,,,
6A759F,1,D3,20351,20351,,,,,,
9E9AAF,1,D4,20361,20361,,,,,,
8B8797,2,D6,20372,20372,20371,,,,,
756A7E,1,D1,20381,20381,,,,,,
A488A0,1,D2,20391,20391,,,,,,
A1999A,1,D5,20401,20401,,,,,,
