Hex Code,times,file,code,final code,,,,,,,
CECC87,2,k5,10012,10012,10011,,,,,,
CFC578,8,k1,10028,10028,10027,10026,10025,10024,10023,10022,10021
A6A961,3,S2,10033,10033,10032,10031,,,,,
A19B44,6,S3,10046,10046,10045,10044,10043,10042,10041,,
7C805E,1,S6,10051,10051,,,,,,,
ABB968,2,B3,10062,10062,10061,,,,,,
86A564,1,E1,10071,10071,,,,,,,
6E8F43,1,G3,10081,10081,,,,,,,
738347,3,G2,10093,10093,10092,10091,,,,,
4E8147,2,B5,10102,10102,10101,,,,,,
8DA087,2,B2,10112,10112,10111,,,,,,
647261,1,B4,10121,10121,,,,,,,
6A7150,1,E5,10131,10131,,,,,,,
2A534B,5,B1,10145,10145,10144,10143,10142,10141,,,
3E5E6C,2,B6,10152,10152,10151,,,,,,
2B5131,5,B5,10165,10165,10164,10163,10162,10161,,,
1D3A1E,2,B8,10172,10172,10171,,,,,,
C5D6D5,2,P1,10182,10182,10181,,,,,,
A6BFCE,4,M3,10194,10194,10193,10192,10191,,,,
85A3CD,2,P2,10202,10202,10201,,,,,,
8098B3,2,P3,10212,10212,10211,,,,,,
B9C5DC,2,P5,10222,10222,10221,,,,,,
B0B3C8,2,P6,10232,10232,10231,,,,,,
5B83BF,1,P7,10241,10241,,,,,,,
717DAC,1,M4,10251,10251,,,,,,,
445877,2,M5,10262,10262,10261,,,,,,
3A456B,2,M6,10272,10272,10271,,,,,,
D6BAC0,1,V4,10281,10281,,,,,,,
BDA3A4,2,V6,10292,10292,10291,,,,,,
A07983,1,V5,10301,10301,,,,,,,
796A82,2,V1,10312,10312,10311,,,,,,
4C4767,1,V3,10321,10321,,,,,,,
4C4755,3,V2,10333,10333,10332,10331,,,,,
797E82,1,R2,10341,10341,,,,,,,
393A3A,1,R3,10351,10351,,,,,,,
161512,3,R7,10363,10363,10362,10361,,,,,
FEFCEE,1,C1,10371,10371,,,,,,,
F9F1D9,2,C2,10382,10382,10381,,,,,,
F7F0DF,1,C4,10391,10391,,,,,,,
EAE5D7,1,W1,10401,10401,,,,,,,
DDC3A7,1,C6,10411,10411,,,,,,,
DECCA7,1,C7,10421,10421,,,,,,,
CDAE97,1,C8,10431,10431,,,,,,,
9C7C6D,2,W3,10442,10442,10441,,,,,,
B88963,3,W4,10453,10453,10452,10451,,,,,
AD6541,4,C5,10464,10464,10463,10462,10461,,,,
B77D71,2,BR2,10472,10472,10471,,,,,,
8B5A5A,2,BR3,10482,10482,10481,,,,,,
5C323B,1,BR1,10491,10491,,,,,,,
41292F,2,BR4,10502,10502,10501,,,,,,
EAE2C8,5,G1,20015,20015,20014,20013,20012,20011,,,
D0A541,6,G2,20026,20026,20025,20024,20023,20022,20021,,
CAA653,5,K1,20035,20035,20034,20033,20032,20031,,,
BFA555,4,K5,20044,20044,20043,20042,20041,,,,
DABE90,1,G3,20051,20051,,,,,,,
B99454,2,G6,20062,20062,20061,,,,,,
AA957C,1,D1,20071,20071,,,,,,,
BAA673,2,D2,20082,20082,20081,,,,,,
D1CFC3,6,Q2,20096,20096,20095,20094,20093,20092,20091,,
E8E1C3,7,H4,20107,20107,20106,20105,20104,20103,20102,20101,
E1DEB6,4,B4,20114,20114,20113,20112,20111,,,,
D6CCA9,5,S5,20125,20125,20124,20123,20122,20121,,,
D8C9AB,2,B8,20132,20132,20131,,,,,,
D3C795,3,D5,20143,20143,20142,20141,,,,,
C2A57B,1,H3,20151,20151,,,,,,,
CFD4C0,1,H7,20161,20161,,,,,,,
ECD3BA,2,E2,20172,20172,20171,,,,,,
EAC8A5,4,E4,20184,20184,20183,20182,20181,,,,
EECC89,1,H5,20191,20191,,,,,,,
E1B075,4,E5,20204,20204,20203,20202,20201,,,,
DC8350,1,R2,20211,20211,,,,,,,
C8662C,4,H2,20224,20224,20223,20222,20221,,,,
E7AFA3,4,H1,20234,20234,20233,20232,20231,,,,
C9876E,2,R1,20242,20242,20241,,,,,,
9D6563,2,C5,20252,20252,20251,,,,,,
B34136,3,D2,20263,20263,20262,20261,,,,,
B08F78,3,D1,20273,20273,20272,20271,,,,,
BD8949,1,T1,20281,20281,,,,,,,
B58763,2,E6,20292,20292,20291,,,,,,
9EA0AB,1,C10,20301,20301,,,,,,,
A9B1BF,3,C2,20313,20313,20312,20311,,,,,
A5BFE1,2,V3,20322,20322,20321,,,,,,
93A8D6,1,V6,20331,20331,,,,,,,
6E99C5,3,C9,20343,20343,20342,20341,,,,,
6A759F,1,D3,20351,20351,,,,,,,
9E9AAF,1,D4,20361,20361,,,,,,,
8B8797,2,D6,20372,20372,20371,,,,,,
756A7E,1,D1,20381,20381,,,,,,,
A488A0,1,D2,20391,20391,,,,,,,
