Hex Code,times,file
CECC87,2,k5
CFC578,8,k1
A6A961,3,S2
A19B44,6,S3
7C805E,1,S6
,,
ABB968,2,B3
86A564,1,E1
6E8F43,1,G3
738347,3,G2
4E8147,2,B5
,,
8DA087,2,B2
647261,1,B4
6A7150,1,E5
2A534B,5,B1
3E5E6C,2,B6
2B5131,5,B5
1D3A1E,2,B8
,,
C5D6D5,2,P1
A6BFCE,4,M3
85A3CD,2,P2
8098B3,2,P3
B9C5DC,2,P5
B0B3C8,2,P6
,,
5B83BF,1,P7
717DAC,1,M4
445877,2,M5
3A456B,2,M6
,,
D6BAC0,1,V4
BDA3A4,2,
A07983,1,V5
,,
796A82,2,V1
4C4767,1,
4C4755,3,V2
,,
7.97E+84,1,R2
393A3A,1,R3
161512,3,R7
,,
FEFCEE,1,C1
F9F1D9,2,C2
F7F0DF,1,C4
EAE5D7,1,W1
DDC3A7,1,C6
DECCA7,1,C7
,,
CDAE97,1,C8
9C7C6D,2,W3
B88963,3,W4
AD6541,4,C5
,,
B77D71,2,
8B5A5A,2,
5C323B,1,BR1
41292F,2,
